标签,文本
happiness,。涛哥哥，新车前10000公里，速度都不要超过95最好。。晰妹妹一路80，安安稳稳，心里也踏实。。高速风景也很好啊！
happiness,。潇潇洒洒大半年，一夜回到高考前。。不挂科，我所欲也;。不复习，亦我所欲也。。两者不可得兼，我了个去也！。有的人死了，就不想让别人活，比如牛顿、莱布尼茨、拉格朗日……。过（guo）与挂（gua）的区别是听到成绩以后是哦（o）还是啊（a）。。作弊该杀，挂科耻辱，士可杀而不可辱！。哈哈 笑死了。
happiness,。今天姐姐说找我逛街···所以 我起来的比较早··然后自觉的把被碟了起来· 我说爸爸 我乖把···爸爸说 我太感动了 哈哈 ······[嘻嘻]
surprise,。某家老牌旅行社总社开会，来早了。。环顾，与俺想象中相去甚远。。若大的一层，连张招贴画都没有，展示架也是空的，更没有音乐和屏幕。。难道生意好得不用营销？[思考]
sadness,。我不想学开车了，老师总是用一桩桩血淋淋毛骨悚然的车祸事实吓我们，我为什么要去学一件用生命作为赌注的本领，而且还是在中国[泪]
happiness,"。厨房里老妈老爸分工合作,我穿着睡衣盘腿坐在桌子上吃着刚出锅雪里红馅儿的包子看着他俩,这个感觉叫做家...[馋嘴][呵呵]"
disgust,。看着电视发现，江苏台的一些节目的制作和创意已经远远把芒果的给甩的不知道多远，芒果现在出的新节目那叫个屁，理性的从芒果跳到江苏。。不过，江苏台的软肋是主持人太缺，来来回回就那几个，不适合也硬往上安。
like,。今天大早就去医院看了胃，原来是胃溃疡，拖几天就胃穿孔啦。。拿了一堆药，医生说最少要三个月才能好。。谢谢医生和帮忙的朋友
surprise,。啊噢…。已经拍毕业照了。。明年今日，就轮到我了。。你会来么？。今天带小超人过来。。本周，宣布：全勤！[倒计时：85小时]
disgust,。所谓大学：管理监狱化，素质流氓化，Kiss公开化，消费白领化，上课梦境化，逃课普遍化，寝室网吧化，补考专业化，学费贵族化，论文百度化，近视全面化，食堂饲料化，求职梦想化，毕业失业化，就业民工化。。。
anger,。无论是第一种说法：中饭的有心人士给李晟敏留言，还是第二种说法：是韩饭留言，因为李晟敏专门点名更了OPPAYA，有的韩饭不愿意~。。总而言之你让他道歉就是错！。人过个生日都不得消停~老子已经把自己的炸毛顺了半天了，不要再挑战老子的底线了~不然小心被人肉出来老子把你挂墙上当飞镖靶子射！。射不死你！
anger,。老子警告某些人，人肉软件什么的，先看看老子标签，老子是WOWER。。人肉软件什么的用得比你顺，会人肉的朋友也比你们多，想死。。
happiness,。告诉大家一件事，姐从来不会跳什么舞蹈，以前大家让我圣诞节上去跳我死都不肯！。这次听我老公的妹妹说她每次跳了有瘦了！。姐疯了！。这次主动参加我们西区教堂建立5周年，2月20号！。大家来捧场啊！。明天开始姐生平第一次舞蹈训练！
like,。被四胡的66萌到，翻了金沙滩来看，顺便往前拖了拖。。不放出来我心不甘哪。。什么夕阳下的窈窕男子都是幻影，只有米老鼠才是亘古不变的真相[猥琐]
disgust,。上善若水003 回复 不错，不论是政府、教育部门、学校还是老师都在积极地推脱自己的责任，教育搞不好，不是我们的原因，还有家庭的、社会你原。。总的感觉：现在的学校好像是培养小混混的地方，好的东西鲜见，打架斗殴、吃喝嫖赌抽一应俱全，而学校及老师几乎都不敢管。
disgust,。这男人装别刊？。男人喜欢看这种？。这组照片要表达什么？。能表达什么？。连变装拍都不如，要什么没什么，不知所云。。这类已经不仅仅是平淡无奇了，已给人创意不足搞怪代替的嫌疑。。平淡无奇顶多是看了等于看，没粘性，而违合不仅是没粘性更让人感觉不舒服。。造型上与众不同没错，但得与众不同地好，否则负效价。
anger,。[抓狂] @兔年美丽:同意！。我的孩子学的是高一新课改教材，结果高一一学期一本的数学变成了两本，据说到高二，要学完必修5。。就连老师们都说，编教材的要不把孩子送到国外去了，要不心理有些变态。
happiness,。元宵喜乐会基本的都定了，包括流程和节目；蔡依林，阿Sa等艺人都落实了；国外的神秘节目也搞定了；只是五小福变四小福了。。。。只想早点过完年，嘉宾们全部汇集在长沙，全部在T2或五洲排练就好。。。。这样心里才踏实。。。。。
like,。爱吃面食，回味记忆最深的沪上5碗面：复兴路的大肠面，真如的羊肉面，鸿瑞兴的焖肉面，淮海路沧浪亭的葱油肉丝面，吴越人家的罗汉净素面。。哎，流口水啦~
surprise,。儿子：我听说非洲有些国家的男人如今还要到结婚以后才认识他太太，是真的吗？。父亲：不单单是非洲，全世界都是这样。
disgust,。关于那个啥塞斯克的二奶的解释，转过来看看，这个女人，抹黑了小法一个人，还抹黑了中国球迷一个群体。。所谓的二奶，杨丽娟式的追星族真的是完全扭曲了人格。。点击可看大图。
like,"。好累!。今天的红白艺能大赏的罗祥真的太帅啦!。新发型也很帅,一出场现场整个超high的,看到表演扇子舞时超怀念舞法舞天演唱会的,叫到喉咙都哑啦!。不过表演真的很赞帅惨了!。还不忘离开前对每一区歌迷比赞!。大喊SFC!"
surprise,。小时候，老师告诉我：人的体内都有一个勤奋小人和一个懒惰小人，当你犹豫不决时他们就会打架。。小学时勤奋小人经常把懒惰小人打得落花流水，初中时就打成平手了，到高中时就是懒惰小人经常获胜了。。可是到了大学我忽然发现他们不打架了，妈的，勤奋小人被打死了！
disgust,。太搞了，卫生部放射卫生防护标准委员会委员邹剑明竟提倡喝碘酒、在脖子上抹碘酒这种土办法来预防放射性碘的摄入，认为会有一点防护效果。。请问邹专家，你知道口服碘片预防放射性碘的原理吗？。你居然认为微量的稳定碘摄入也能起饱和甲状腺作用，那还不如提倡吃海带呢，摄入量肯定比抹碘酒、喝碘酒大。
anger,。本人在腾讯微博话题《你听过的最伤人的话》的留言：:我听过最伤人的话就是新疆克拉玛依发生的那个马屁精说过的：《让领导先走》！。不光是伤人！。而且是最残忍的屁话！。此人实际上是杀人犯！。是杀害那么多少年儿童的罪魁祸首！
disgust,。吃饭的餐厅，远处一桌子外地的朋友，竟然公然的让自己一岁左右的孩子在餐桌的角落随地小便！。还是孩子妈把着的！！。让我想起之前那段视频，北京西站的外地朋友让孩子在KFC桌上拉shi！。店长叫他清干净扔出去！。他还反驳说我在这拉怎么不对了！。评什么轰他！！[鄙视]
anger,。今天医生终于给我敷上了中药。。用于制造火药的硭硝，跟大黄，白醋一起。。现在整个乳房真的跟火药似的灼烧。。火辣辣的疼。。连敷三天，如果奶块再不消，奶再不退，我真要把它割掉了[怒]
disgust,。日本核电站的技术是世界一流的。。其政府透明的管理模式，确保了伤害降至最低。。但在某些国家，这是另外一回事。。他们会在灾难之后宣称，没有危害，一切正常……。如我们那无处不在的有毒食品。。至少我就不希望在我的身边出现一座核电站。
happiness,。刚刚给春纪公司我以前的老大打电话：我：春春是不是昨天拍了新广告？。老大：是的。。我：是不是出了点事？。老大：是的，你怎么知道？。我：在微博上看到的。。老大：其实双方都有责任。。我：拍的花絮能不能发给我？。老大：可以，到时候企划弄好了就发给你。。我：[哈哈] 谢谢老大！。哈哈~最后一句才是我想要的啊！
like,。动态更美，看完电影脑子里全是她（我觉得剧情还可以，因为之前三部早就忘光了...。= =+ 今年的暑期档非常华丽！
disgust,。今年的行程計劃了不少 不知道最終能去成几個 剛才想起去年定下今年暑假要去日照來着 又看見同學說暑假入藏求同去 我是想去來著 可是我的暑假好像都計劃完沒有空閒了。。。[晕]
disgust,。一个中国政法大学教授的微博就这样没有任何理由的注销了，多么的讽刺！。////@谢朝平: 记住那个有良知说真话的何兵教授！
happiness,。回复@医药营销信息化-冯军:啊？！。谢谢冯大哥支持哈。。推荐三线城市的医生哈。。//@医药营销信息化-冯军:抗生素处方问题是个大问题，希望医生们能积极参加！
happiness,。今晚，你如果去看这场演唱会的话，是为小队长去还是为陈老师去呢？。哈哈，无论怎样，相信两位音乐人一定会带给大家更多独一无二的回忆！。@卢广仲星闻@陳綺貞中文網@陈绮贞吧@陈绮贞星闻@陈绮贞资讯台
happiness,。回广州了，但回不了家，直达公司继续加班。。方才飞机在云中几番迭宕，让我深呼一气，安全到达就是好事，无论如何今晚要回家陪豆豆[呵呵]
happiness,。青春不是年华，而是心境；青春不是桃面、丹唇，而是挥洒的激情、炙热的情感。。岁月悠悠，衰微只及肌肤，热忱抛却，颓废必致灵魂。。懂得爱与被爱，人生才会精彩。。早安，充满爱的星空！ [鲜花]
surprise,。昨天去聚会，喝的不少，叫同事过来帮开车，她是新手并叮嘱她：一定要慢，注意看反光镜...。车上路，我也入睡，一觉醒来，发现已开了半小时，她正停车等信号，很认真的把着方向盘对我说：放心，你睡吧。。于是，我放心的朝车窗的方向扫了一眼，突然发现！。两个反光镜一路都没有打开，始终折叠着。。[晕][衰]
anger,。尼玛啊~~~~坑爹啊~~~~肿么没WEED了啊~~~~~伤不起啊~~~~~~受不了了~~~~没呼我满足不了ROSE有木有啊！！！
sadness,。不知道什么时候起，不联系朋友，不联系同学。。没有电话，不发短信，收不到邮件，心里却有挂念。。习惯挂着QQ，就这么一直挂着。。我不说话，也没人和我说话。。都说世界小了，可是两颗心的距离，却越来越远……
disgust,。想看fighter的速去人人，这片他们放上去快一个月了，最烦盗梦这种五迷三道的大路货，诺兰看下自己拍过的记忆碎片不害羞吗
sadness,。曾经的战友们、我想念战友、辽宁海城师直属侦察连、你们在那里？。望联系、黄文革.。手机：18602020955。
disgust,。如果一个女人，不进厨房，不做家务，不体贴别人，一味地索取，各种品牌倒背如流，文学、历史、国事无一过问，成天嚷嚷着生病难过要减肥却懒得运动，除了泡沫剧和吃喝玩乐打扮，一点爱好也没有，还没赚一分钱就开始闭着眼睛扯Gucci、Chanel、LV，幻想找个高帅富，这样的女人基本上也是个废物
disgust,。中国的单向支持系统依靠谎言维持，当谎言失效，就依靠暴力，暴力失效，就依靠革命，然后新瓶旧酒，循环往复，中国人是如此的怯懦，从药家鑫案可看出，他们宁可杀人，也不能为自己的行为负责任，接下来，他不敢伏法，这仍是不能对自己的行为负责。。中国人不能从道德观念上理解卑鄙，这就是卑鄙。
happiness,。我的2根手指头真瘦！。真细！。一看就是瘦子的手指！。[偷笑] [害羞] 我妈妈已经看了好多集了哈哈哈哈哈说谢谢你的碟子[哈哈]
like,。这是一只刚出生的考拉，迎接它的人生将是这样的：每天睡觉20个小时，吃2个小时，发呆2个小时。。——这才是人生啊！！。。。。有同感的童鞋请举手！
anger,。神马叫死不要脸，非泡菜莫属了。。还TMD真以为全世界都是泡菜淫民的啦？。所谓棒子不是早就臭大街了？。还自我感觉良好是拿来的勇气呢？。期待着哪天来个雷劈醒那些不分好赖的妖孽吧 我去~~~~~~~
happiness,。把前ZS手机屏蔽开心屏蔽QQ删掉之后，突然神清气爽了很多，让他TMD再拉着我一起演狗血剧= =，本人从来只演情景喜剧。。。。时间宝贵，不能再迷失了好么=v=++
disgust,。回复@木有话説:不用那么多怀疑，1和2上的棍子被阿姨发现后藏在楼下的角落，所以落了灰，3很明显诱猫时没有焊死，是后来才封的，那里面通地窖，阿姨曾从地窖另一段进去救猫，被那些人反缩在地窖里
like,。此时此刻的所听所闻所感都有可能成就未来，一切都在为未来铺路。。由猫咪带来的影展，由猫咪带来的网站，又猫咪带来的信息，又猫咪带来的商机。。萌猫的视角——《又一只猫咪摄影师》。。主人好奇自己的猫咪每天在干嘛就挂了一个相机在它脖子上，并设置了每两分钟拍一次，非常有趣的视角~
disgust,。蟹子生性温柔如水不舍得你受到一丁点委屈，就算自己遇到了不开心的事，心里再难受也会忍住不对你说，不愿一个人的苦恼两个人来受。。小小的错误会原谅，隐瞒的谎言也能释怀，只要你的心中只有他，蟹子就会用一颗最真诚的心来爱你（不懂一心一意的人请不要招惹巨蟹，超级鄙视花心的人！！。花心滚蛋！！）
happiness,。哈哈 我妈同意我考那个学校咯。而且她还主动提出让我读动漫和计算机媒体专业 而且成绩也稳当。我现在也很兴奋
like,。关于c-jes的无能和整个PC娱乐环境的变态和严峻的氛围，正像你所说的，现在还处在看不见光亮的隧道中吧。。只是在这黑暗里，我却愈发坚定了自己的心，越是艰难，就越是爱你。。最近，好像就是一直处于这样子的状态里T^T
happiness,。2011年才过了十天，身边的N班兄弟们就完成了从男孩到爷们儿的蜕变。。哥在此恭喜你们，你们要给力给力的，哈哈～。（此篇围脖勿需留言，以免暴露身份，你们懂得～[嘻嘻] ）
sadness,。今天上外婆外公的坟。。最近的梦里，妈妈在外婆那。。。。我是那么的想念你们！！！。梦里的你们还是那么的慈祥！
anger,。附中门口出去的那半边路停了一辆混凝土车，司机竟然下来锁车了，不知道什么状况，只剩一条车道可以走了，8点之前不挪开就会茬死吧[晕]
sadness,。今天是腊八。。想念家乡冻瘦了的小河，和飘浮在小河两岸上空的浓浓的年味，父亲佝偻着身子，数着手中捏皱的毛票，拧着一样皱褶的眉头，计算着能否办齐年货。。如今，这一切，都随风而逝。
anger,。我们公司居然同意被罚二百万噢!。资本家好说话啊!。那么多造成污染，有毒食品公司也没见被严惩。。这点莫虚有的罪名倒罚得起劲。
sadness,。啊啊啊啊啊啊啊啊啊啊 对不起啊啊啊啊啊我现在才看到邮件啊啊啊啊啊啊。。。好吧。。。。大叔我对不起你- -
like,。中秋夜内蒙古星星塔拉的篝火，我们的电影「飞越老人院」正式开机了，希望我们的电影象这堆篝火一样，熊熊燃烧起来
fear,。德克萨斯州休斯顿市，城区规整，除两车道外，还有机动车道。。天气开始渐渐退凉，有微风。。路旁行道树多是小叶榕，树叶颤抖，如少女的睫毛，很是惬意。。我跟糍粑块君初来乍到，欲觅个打尖住店之地。。路上总有男女流氓冲糍粑块君吹口哨，我们很尴尬
happiness,。有组织真好，我做完没脸，周一就过了…。做完老母，周二就过了…。周三再弄弄芝加哥…。等周四的米豆豆也搞定了，我就觉得我的一周过完了，难熬的日子也过得快了…。哈哈哈，要看着偶的实习就快过半了，快快恢复我糜烂的生活吧
sadness,。怎么忽然就忘了该怎么独处了呢？。曾经一个人也可以怡然自得，近来却忽然那么怕安静。。常常一个人呆在家里时，静的可以听到空气的声音。。乱乱的想一些事情，却又更像是在发呆，偶尔莫名的想哭，却倒也哭不出来，只好又笑了。。也许学了太多电影，倒把生活当电影了，若是平淡无味没惊喜，就不知该如何继续。
disgust,。年年打假，年年假；年年都有打不完的假。。这是为什么呢？。这到底是谁的问题？。难道315形同虚设嘛，走形式糊弄人吗？[吐]
happiness,。都说外面下雪了，还记得以前下雪的时候第二天早上起来，妈妈都带我出去拍照片～。嘻嘻～。现在长大了，应该找男朋友一起去了~^_^那过会儿早点睡明早自己去吧~^_^
like,。瘦得剩下80斤了，還每天被各種事佔據睡眠時間。。每天都很累。。接近崩潰的一晚。。我再不愛惜自己誰來愛惜。。女人不可以糟蹋自己的。。我要僅記！
sadness,。川藏线。。一路讨论佛法，佛教与普罗大众，草民，现今政治和经济趋势。。感慨现在寺庙的在传播佛法的作用越来越差，只迷信自己的上师，没有质疑，脱离社会现状，反而阻碍了佛法的传播。
sadness,。好多事情。。我不懂。。我不理解。。我不接受。。我不明白。。我不了解。。我放弃。。我退出。。比如说。。我的这段初恋。。跌跌撞撞，该说再见。
disgust,。我想说业务不精害死人啊，我输液时看那小护士给谁扎都得捅好几针，甭管你是老是少是胖是瘦！。夜已深，祝好觉，明天又是一天恶战
sadness,。你问我回家的路，我张皇失措，难道你看不出我跟别人不同吗？。如果可以让我重新凝视这世界，我最想看见的是什么？
sadness,。不联系不代表不想念 真正的朋友是放在心里的 你就是心太重别老想这些，但是当真正需要你的时候，你又在哪呢？
sadness,。计划一下明天干什么吧，一是：早上要去锻炼，二是：要去商场给孩子们看看礼物，三是：给自己挑几件衣服，四是：陪父母聊聊天，五是：到了晚上我又会郁闷，第二天还得去上班。。我现在的心态像小朋友，就怕第二天去幼儿园。。这是为什么呢？
sadness,"。这个年过得…。今天我终于有种难过的感觉,我最亲的姐妹还有我爱的姐姐都走了,突然好想你们,妈妈去看电影,我一个人安静的时候,我才发现外面好热闹、好多炮,请允许我一小下子的失望,我可以学会理解一个人,那么我内心可以有点小抱怨吗?。因为期待着某一个日子却落空的感觉真他妈不怎么好受!"
like,。明天（16日）下午1点~1点半，LAMER抢楼活动大家别忘记哦~1点准时到我博客哈~这次奖品是：LAMER浓缩修护眼霜3ml（有5个获奖名额哦，中奖率比较高），别看3ML，可价值360大元哦~此次活动不需要承担邮费，包邮的~
like,。这两天一直在看李宇春的演唱会视频。。越看越喜欢。。像她这样舞台型的歌手，内地很少，在内地我们见得最多的就是站桩歌手。。而连唱带跳还能气息平稳，还不走音的几乎没有（假唱的不算）所以我觉得李宇春的演唱实力被人严重低估。。这可能跟她的宣传有关，当然也与竞争对手的丑化抹黑有很大关系。
happiness,。天啊[花心][花痴]居然可以跟~偶像[抓狂]王力宏合照[花痴][一箭穿心]尖叫中[抓狂]馬上變成小粉絲
like,。我就喜欢吉姆尼，但看这架势装配质量直逼吉利啊！（不要侮辱吉利）。嘿嘿，JMN漏油那是飞溅自润滑系统，起到保护底盘的作用，吱吱响那是转向提示系统，在一定范围内起到提醒路人注意的目的，属于主动安全范畴，转向提示系统和安全预警系统，多么滴人性化！。放心开，这都不是病， 肯定不会趴窝[酷]
disgust,。在非民选的领导人被捕之前，永远都不要相信所谓的首富排行榜。。因为，再狡猾的商人都斗不过贪婪的君主。。数名利比亚高官日前表示，卡扎菲资产总值可能超2000亿美元，什么斯利姆，什么比尔盖茨，什么巴菲特，就此成为浮云。。由此观之，在某国，某个外来和尚发布的富豪榜，也只能是传媒的集体YY和自我狂欢。
like,。刚看完《追凶》回来，个人觉得结尾很精彩也很出乎意料。。有种电锯惊魂里试炼人性的意味，氛围很惊秫。。这次刘青云的角色较之以往的义气有所不同。。看到最后宝强和他女友对视而笑时我就明白了几分了。。感谢 @重庆晚报观影团
happiness,。@麦子粽小葱 有二麦的日子里，我总是很快乐~嘿！。无奈被各种祝福你的微博刷屏了，那我也加入一下吧...。生日快乐哈！！
like,。好折凳！。它可藏在民居之中，随手可得，还可坐着它隐藏杀机，就算被警察抓了也告不了你，不愧为七种武器之首！。--《食神》
like,。亲爱的妈妈，岁月已将您的青春燃烧，但您的关怀和勉励将伴我信步风雨人生。。用我心抚平你额上的皱纹，用我的情感染黑您头上的白发。。祝您母亲节快乐！
like,。愿甜蜜伴你走过每一天，愿温馨随你度过每一时，愿平安同你走过每一分，愿快乐和你度过每一秒！。愿你在新年里天天有好心情！
disgust,。史上最强公安诈骗案，期待万能的微博揭开迷团：南安市公安局民警林水滨声称与泉州市政府某常委有特殊关系，骗取群众达4仟多万元，诈骗所得用于包养情妇、大量挥霍及编织保护伞。。案件未能异地侦查，竟然由南安市公安局受理，如同老子查儿子，查不出所骗钱款去向！。现其保护伞多人戏剧性地被纪委双规
anger,。哦！。雪特！！！！！！！！！。淘宝你是果断在安替我吗！。老子要订购函数新专，你老不给我付款！。雪特！！！！！！！！！！！！！！！！！！！！！！！！！！！
like,。最后那个歪瓜劣枣成品（还是掰下来几个换位子切掉过移不了的叶子的）……。这长得多疯魔……= =。。期待开花中！。一定能开出好花！
happiness,。准备去另一个滑雪场玩，体验下不一样的环境。。可看图片貌似没有紫云山的刺激。。这次得练练过弯技巧了[呵呵]
anger,。请问他都不算非杀不可，什么样才叫非杀不可？。事实都已经明摆着了，压了人不算，还得拿着刀子捅八刀，这得多冷血多自私多禽兽才能干出这样不是人的事啊。。他的命是命，别人的命就不是命吗？。既然敢杀，就该承担后果。
fear,。我靠，凭我一直一来对小偷敏锐的直觉，刚才车上来一群小偷，起码四个人，站我周遭，不过我看出来的那几个没得手，我一个个用眼神抓出来，盯着，好恐怖哦。。要过年了，大家要小心啊！！！
disgust,。分享图片....。这是一个追求原创的时代，我的画，我的字，都是原创！。红梅图，一点也不喜欢把梅画的那么红！。那么俗！
happiness,。在家几乎天天外出，都是阳光明媚春风怡然好天气，本以为今冬无雪了，谁料回京上班第一天就是大雪，瑞雪照丰年啊...。给力
sadness,。我被打击了，把我打的连命要米有了::_::数学啊神马的都是尼玛那浮云啊︶︿︶高考的时候我是一匹发亮的黑马马╰_╯
sadness,。今天哈杯具，我居然把那双彩虹鞋给穿坏掉了一刚。。我特强大了，可怜的我呀，本来单鞋就不多，这下好了，日子怎么过呀[泪]
like,。我做事情喜欢拉着朋友一起，他们都是普通家庭。。出来工资也是两千左右。。我带着他们做销售。。真心想帮他们做起来，改变传统工作的窘境。。希望这个世界因为有我的存在，有一点点不一样。
happiness,。回复@有机米团:你好，西南证券尽力将所有市场公开信息和所有粉丝分享，无违规内幕信息，谢谢各位粉丝的关爱！。//@有机米团:回复@西南证券:没啥内幕啊[哈哈]
sadness,。看到只比我大四五岁的姐姐都已经有宝宝了，仿佛我与他们的童年还是在昨天，只是一觉醒来都已经长大了，感叹啊，时光啊，能不能慢点啊……
sadness,。好伤心[泪]你永远也不会知道下一秒会遇见谁！
like,。好玩！。一早起来就看到fox新闻正直播北卡共和党选举答辩，白人黑人老人年轻人，前任州长、现任活动分子、议员站在一起，主持人轮流问他们对内外政策、移民、福利、妇女流产等等看法，他们各抒己见。。这些人不一定选总统，但通过这种方式，让观众知道治理国家还有其它选择，听到不同声音，好玩。
happiness,。回复 @陈柏君:我们俩特适合上演恩爱戏码[相爱]比如着装登对比如互拍马屁[偷笑][偷笑]。//@陈柏君:貌似今天我和maggie姐穿着很搭调的说，为何就没有一张我们的合影呢？！。这个遗憾有点儿太大了！
like,。专为懒人设计的电视机遥控器T恤。。咋看是一件普通T恤，但其内部其实是将传导线缝进T恤中，并加入按钮，那些整天赖在沙发上看电视的懒人们，连伸手拿遥控器的劲都省了，直接戳自己身上。
like,。中午吃饭误撞到重庆团餐厅，同桌几个重庆女代表，一位川剧院的院长说推广普通话，是好事，但冲击了方言，进而使地方剧种萎缩。。我觉得有道理，实际上，方言体现的是地方文化的底蕴，许多习惯用语、比喻、歇后语换成普通话就没有神韵了!。几个女代表谈起社会问题、农村问题，都有深刻见解，水平不低。
disgust,。说第二个点球不该判的sb们清楚足球规则不？。不清楚百度一下九八年世界杯小组赛巴西对挪威巴西被判那个点球，sb巴亚诺那么隐蔽的拉拽一样难逃点球，有毛好争议的，艹！
anger,。天朝，你究竟是有多么敏感啊！。我2年才发一次日志，还不让我通过！。哥找了好几遍了，把蛋疼菊紧都删了～。你究竟哪里敏感让我给挑逗到了，我下次不碰那好吧
like,"。[鼓掌] 这个兼职不错哦，转发出去，让其他朋友也知道吧！。有意者请致电0755-26601381，或发送简历至lisaliminghui@126.com,黎小姐收。 [心]"
happiness,。1今天去买火车票，动车票已到手，心里一块儿大石头放下了，中午到北京西，下午专车到北京站，晚上六点半到唐山，希望一切顺利吧！。2今晚上自习旁边做俩大美女，一个短发御姐型，一个长发气质性，我心里那个躁啊。。。。晚上根本就没背下去东西，所以明天的婚姻继承法考试和刑法考试心里没底。。3大家晚安。
fear,。分享图片 我所在的小区位于浦东新区康桥镇锦绣路和浦三路之间的康花新村。。开学初孩子体检普遍血铅浓度超标，严重的甚至到500毫克以上。。大多数的孩子都是大于200。。大多数在300-400，严重的有一些达到500以上。。有一些还仅仅是怀里的婴儿。。环境污染已经到危险到我们的孩子了!!!
happiness,。陪此男抢亲成功！！！。宣布一下：此枚帅哥今天已嫁，闲人勿扰~~哈哈哈！。今天是个好日子！。@张亢亢亢 @小涵妹儿 好！[鼓掌]
disgust,。2011年中国百姓的愿望：手机单向收费，猪肉好吃不贵，房价跌到实惠，看病不被乱收费。。（结果对方答复）中移动说：我的包月单收费。。经贸委说：猪肉本来就不贵，发￥改委说：房价尚没有涨到位，医院说：你不生病，我怎么乱收费？！。结论：通讯靠接，吃肉少切，房价求爹，生病强憋。
happiness,。坐在电脑旁，一边看微博，一边等QQ，就这样，从12点半等到了7点半。。。多美好的周末呀~~[可爱] [可爱]
surprise,。明天自驾车去婺源，旧游之地，想来风景无恙。。话说居然我关注的人当中，居然有两位美女都去，不知道是不是能在那里偶遇。。。。。。。
sadness,。今天有点倒霉，-进DJ台摔了个狗吃屎，然后唱歌唱到最后-首全场停电，我有这么大的本事啊[吃惊]出来又下了很大的雨[弱]
happiness,。说实话今天做了昌珉那个视频很多人看，很高兴，可是也并没那么高兴。。转帧期间看了08MKMF，我看到以前从没留意过的一幕…。说起那年MKMF，别人都会想起允在世纪之抱，会想起有天安慰昌珉，今天看到这一幕着实让我哑口了好一会儿……。就，我会想起剩下两人的时候，昌珉偶尔崩溃了允浩是不是也会这样抱着他。
sadness,。我想我总是不知道要如何去学会放弃，现在我知道其实，有些是你根本就无法掌控的，不是你不去放弃，而是你根本就抓不住
like,。吾家有儿初成长 婷婷玉立啊~~09年你几岁！！。19岁啊你！！。你19岁就诱人到一个什么程度了你！！！！。你你你你你你你你你你你你你你！！！！！。你是我们的主上啊！！！。求发光发热啊！！！！！！！！！
sadness,。[笑哈哈] 尽管切尔西依靠众志成城淘汰卫冕冠军巴萨，进军欧冠决赛，但包括特里、伊万诺维奇、拉米雷斯以及梅雷莱斯在内的4名主力球员因为累积红黄牌而无缘5月19日的决赛。[衰]
happiness,。北京冬天最让我开心的事之一，就是满大街的冰糖葫芦。。上高中的时候，我爸有次来北京出差，问我要带什么，我毫不犹豫地说要冰糖葫芦……[害羞][偷笑]
anger,。你删哎 你再删哎 屌呆逼 才骂你两句就怂啦 你刚刚不是蛮坚挺的嘛 你不是骂我贱人嘛 还有其他词了吗 我很想听 来啊。传说中的还广告导演 导你B脸
happiness,。在现场，武艺已经走了，赶飞机去了，他就留下这个给我们，超级完整版签名哦，给你们先解解馋吧，明天回去发艺哥照片给大家看哈
like,。春天让人油生赞美之意，桃花美，樱花更佳，开得烂漫时，如烟，花雾之境岂是文字能言说，图片也只得其一丝俏意而已!。四月不赏花，人间最大浪费!
happiness,。第一次买票看自己的电影，有点忐忑！。尽管如此，以实现行动支持票房吧！。昨天上海、成都票房列居首位，愿「嘿店」在帝都飘红~~~[太开心][耶]
like,。今天的google首页真有趣啊，纪念拉链发明者Gideon Sundback，首页还能拉上拉下的[偷笑]
surprise,。奇怪的事：迄今还没人说应该开放童工，可好些人说应该放任儿童乞讨。。这真把我搞迷糊了，莫非乞讨是儿童唯一适宜的工种？
like,。发现一个公安凡客体防骗系列宣传画，很不错哦。。学习了，公安宣传也要与时俱进。。分别是：网络中奖、电话欠费、假冒熟人、退还汽车购置税、网络购物、信用卡透支等6种常见诈骗伎俩。
like,。好喜欢看刘德华笑起来的样子。。每次采访的时候，就会看到专访室里全部坐着女记者，而且分访通常是没有太大意义的，女记者们（包括我~~）都会跟着华哥从专访室A跑到B再跑到C。。呼呼呼。。
anger,。金华市取缔狗肉节是欺骗是文字游戏！。实质是将每年3天的狗肉节变成常年宰杀！。将当街杀狗变成秘密宰杀！。必须马上戳穿金华市政府的阴谋大力发声拯救万千即将被杀的狗狗！。浙江省政府：0571-87052221金华市政府：0579 —12345我们抗议！。我们声讨！。必须要金华市政府的诚实和公信力给社会大众一个保证与交代！
like,。回到深圳，竟已有几分秋意，最喜欢深圳的秋天，终于可以在自己的床上睡个踏实觉，晚安，秋天，晚安，深圳，晚安，我的家[爱你]
sadness,。小侄女为了中米奇玩偶的奖，让我也喝QQ星儿童成长奶，拜托…。你小姑我今年都26了，这…。这…。这不是小孩子喝的吗？。555555~为了小侄女，我喝~我要变儿童！
surprise,。没看过甄缳传，但是没少灌耳音。。就记得一句台词，挥之不去：＂皇上，您是喜欢臣妾呢，还是喜欢臣妾的姐姐？＂OMG！
disgust,。嘿嘿，我也有这个疑问。。难道法律神马的都是浮云？。//@周泽谈案说法:研究法律的贺老师研究起花生来了，准备改行啊？
anger,。李晟敏你的傻逼图快把我HHP和萌点戳爆戳烂了啊亲！！！！。我会给差评的亲！！！！！！！。0分哦亲！！！！！！！！！！
happiness,。东海0114推特更新：现在最后一个片段(拍摄)结束了T T 很可惜也很难过 播出要到下个星期为止 所以请继续支持没关系 爸爸的女儿到结束哦 感谢给东海的处女作的作家，导演，亲爱的演员前辈们送来礼物的ELF们!!。啊拉...
